ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value
9781741250879,17911947,"Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King","Dearborn, Tricia",2004,"Book, Book/Illustrated",8.119243621826172,very relevant,,,
9781741250879,189779979,Targeting handwriting. : Victorian modern cursive / by Jane Pinsker and Jo Ryan ; illustrated by Stephen Michael King,"Pinsker, Jane",2003-2004,"Book/Illustrated, Book",8.119243621826172,very relevant,,,
9780648237327,,,,,,,,,,
9781742990682,6741923,Wilfrid Gordon McDonald Partridge /  written by Mem Fox ; illustrated by Julie Vivas,"Fox, Mem, 1946-",1984-2024,"Book, Book/Illustrated, Audio book, Book/Braille, Book/Large print",24.312602996826172,very relevant,url,restricted,http://openlibrary.org/books/OL11346705M
9781741351750,163413090,iMaths,"Linthorne, Chris",2008-2012,"Book/Illustrated, Book, Sound, Sound/Other sound",15.12327766418457,very relevant,,,
9781742152196,10967603,Targeting maths :  dictionary /  by Garda Turner,"Turner, Garda",1900-2023,"Book, Book/Illustrated",16.94740867614746,very relevant,,,
9781742152196,190020802,Targeting maths /  Katy Pike,"Pike, Katy",2006-2017,"Book/Illustrated, Book",11.165064811706543,very relevant,,,
9781742152196,233553331,Targeting Maths : Australian Curriculum Edition F / Katy Pike,"Pike, Katy, 2013",2013,Book,8.119243621826172,very relevant,,,
9780310709626,8076196,The beginner's Bible :  timeless children's stories,"Henley, Karyn",2005-2016,"Book, Book/Illustrated",7.36301851272583,very relevant,url,restricted,http://www.loc.gov/catdir/toc/ecip054/2004026266.html
9780310709626,191703987,The beginner's bible,,2005,"Book/Illustrated, Book",6.0044403076171875,very relevant,,,
9781876424022,252748714,Thrass picture charts [picture],,,Book,6.3984904289245605,very relevant,,,
9781876424022,233498355,Thrass Sound Picturechart [Deskchart],"Davies, Alan",1998,Book,6.0044403076171875,very relevant,,,
9781876424022,234887497,Thrass Picture Charts - 4/5 Class Set,,,Book,6.0044403076171875,very relevant,,,
9781740202954,28141087,"Targeting handwriting student book : NSW foundation style / by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001-2023,"Book, Book/Illustrated",10.823433876037598,very relevant,,,
9781740202954,33292019,"Targeting handwriting :  NSW foundation style /  by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001,"Book/Illustrated, Book",8.340190887451172,very relevant,,,
9781925487350,,,,,,,,,,
9781741352795,,,,,,,,,,
9781922246165,218070593,ORIGO Stepping Stones Student Journal Year F,ORIGO Education,2014,Book,6.0044403076171875,very relevant,,,
