School_ID,State,Year,Subject,ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value,start_year,author_processed,type_processed,decade,corpus,recency_score,popularity_score,title_google,subtitle,authors,publisher,published_date,description,page_count,categories,average_rating,ratings_count,language
8,VIC,0,ENGLISH,9781741250879,17911947.0,"Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King","Dearborn, Tricia",2004,"Book, Book/Illustrated",8.119243621826172,very relevant,,,,2004.0,"Dearborn, Tricia",Book/Illustrated,2000.0,"9781741250879 Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King Dearborn, Tricia Book/Illustrated",0.9746376811594204,0.0750657082045245,Victorian Targeting Handwriting,,"Jane Pinsker, Tricia Dearborn, Jo Ryan, Stephen Michael King, Susan Young",,2004,,64.0,Penmanship,,,en
8,VIC,0,ENGLISH,9781741250879,189779979.0,Targeting handwriting. : Victorian modern cursive / by Jane Pinsker and Jo Ryan ; illustrated by Stephen Michael King,"Pinsker, Jane",2003-2004,"Book/Illustrated, Book",8.119243621826172,very relevant,,,,2003.0,"Pinsker, Jane",Book/Illustrated,2000.0,"9781741250879 Targeting handwriting. : Victorian modern cursive / by Jane Pinsker and Jo Ryan ; illustrated by Stephen Michael King Pinsker, Jane Book/Illustrated",0.9734299516908212,0.0750657082045245,Victorian Targeting Handwriting,,"Jane Pinsker, Tricia Dearborn, Jo Ryan, Stephen Michael King, Susan Young",,2004,,64.0,Penmanship,,,en
9,NSW,0,ENGLISH,9780648237327,,,,,,,,,,,,Unknown,Unknown,,9780648237327,0.5,0.5,Kluwell My Home Reading Yellow Level,,"Stan Kluzek, Andrew Coldwell",,2019-07,Suitable for lower primary students.,0.0,,,,en
15,NSW,0,ENGLISH,9781742990682,6741923.0,Wilfrid Gordon McDonald Partridge /  written by Mem Fox ; illustrated by Julie Vivas,"Fox, Mem, 1946-",1984-2024,"Book, Book/Illustrated, Audio book, Book/Braille, Book/Large print",24.31260299682617,very relevant,url,restricted,http://openlibrary.org/books/OL11346705M,1984.0,"Fox, Mem, 1946-",Book/Illustrated,1980.0,"9781742990682 Wilfrid Gordon McDonald Partridge /  written by Mem Fox ; illustrated by Julie Vivas Fox, Mem, 1946- Book/Illustrated",0.9504830917874396,0.6498548536194113,Wilfrid Gordon McDonald Partridge,,Mem Fox,Omnibus Books,2014,"30TH ANNIVERSARY EDITION. Wilfrid Gordon McDonald Partridge was a second collaboration for Mem Fox and Julie Vivas, the author and illustrator of Possum Magic. First published in 1984, it was similarly an instant success, later translated into several languages and published in the US and the UK. Its classic themes and beautiful artwork have also seen it adapted to the stage as a play for children, but its enduring appeal is in the simple words of a story thoughtfully told, illustrated with humour and understanding.",32.0,,,,en
15,NSW,0,ENGLISH,9781741351750,163413090.0,iMaths,"Linthorne, Chris",2008-2012,"Book/Illustrated, Book, Sound, Sound/Other sound",15.12327766418457,very relevant,,,,2008.0,"Linthorne, Chris",Book/Illustrated,2000.0,"9781741351750 iMaths Linthorne, Chris Book/Illustrated",0.9794685990338164,0.3236764287125389,IMaths,,"Mary Serenc, Lena Ford, Chris Linthorne",,2011,"""iMaths is an investigative-based numeracy program that comprehensively addresses both the content and proficiency strands of the Australian curriculum.""--Back cover.",135.0,Mathematics,,,en
15,NSW,0,ENGLISH,9781742152196,10967603.0,Targeting maths :  dictionary /  by Garda Turner,"Turner, Garda",1900-2023,"Book, Book/Illustrated",16.94740867614746,very relevant,,,,1900.0,"Turner, Garda",Book/Illustrated,1900.0,"9781742152196 Targeting maths :  dictionary /  by Garda Turner Turner, Garda Book/Illustrated",0.8490338164251208,0.3884246184618288,Targeting Maths,F,Katy Pike,Blake Publishing,2013-08-30,"The Australian Curriculum Edition TARGETING MATHS FOUNDATION STUDENT BOOK has been specifically written to meet the Australian Curriculum requirements of the foundation year of primary school. The TARGETING MATHS FOUNDATION STUDENT BOOK features: Australian Curriculum Alignment Complete coverage of all Foundation Year Content descriptions for mathematics. Targeting Maths App for iPad The TARGETING MATHS FOUNDATION STUDENT BOOK is fully cross-referenced to the Year K Targeting Maths App (coming soon). Children will benefit from the combination of book-based and digital learning this program provides. Fully integrated Problem-solving Program Actively builds students' abilities to think mathematically, problem solve and communicate their answers in a variety of ways. Term Investigations Students plan and work through problems that extend their mathematical fluency. Regular Revision Regular revision pages maintain skills. Interactive whiteboard activities for front-of-class teaching The TARGETING MATHS FOUNDATION TEACHING GUIDE includes the complete K-Prep/Foundation level Rainforest Maths CD-ROM, an invaluable resource for teaching and learning a wide variety of maths concepts. This book aims to teach Foundation year students: Numbers to 30; 2D shapes and 3D objects; Addition and subtraction and Groups and subitising.",138.0,Mathematics,,,en
15,NSW,0,ENGLISH,9781742152196,190020802.0,Targeting maths /  Katy Pike,"Pike, Katy",2006-2017,"Book/Illustrated, Book",11.165064811706545,very relevant,,,,2006.0,"Pike, Katy",Book/Illustrated,2000.0,"9781742152196 Targeting maths /  Katy Pike Pike, Katy Book/Illustrated",0.9770531400966184,0.1831782324977052,Targeting Maths,F,Katy Pike,Blake Publishing,2013-08-30,"The Australian Curriculum Edition TARGETING MATHS FOUNDATION STUDENT BOOK has been specifically written to meet the Australian Curriculum requirements of the foundation year of primary school. The TARGETING MATHS FOUNDATION STUDENT BOOK features: Australian Curriculum Alignment Complete coverage of all Foundation Year Content descriptions for mathematics. Targeting Maths App for iPad The TARGETING MATHS FOUNDATION STUDENT BOOK is fully cross-referenced to the Year K Targeting Maths App (coming soon). Children will benefit from the combination of book-based and digital learning this program provides. Fully integrated Problem-solving Program Actively builds students' abilities to think mathematically, problem solve and communicate their answers in a variety of ways. Term Investigations Students plan and work through problems that extend their mathematical fluency. Regular Revision Regular revision pages maintain skills. Interactive whiteboard activities for front-of-class teaching The TARGETING MATHS FOUNDATION TEACHING GUIDE includes the complete K-Prep/Foundation level Rainforest Maths CD-ROM, an invaluable resource for teaching and learning a wide variety of maths concepts. This book aims to teach Foundation year students: Numbers to 30; 2D shapes and 3D objects; Addition and subtraction and Groups and subitising.",138.0,Mathematics,,,en
15,NSW,0,ENGLISH,9781742152196,233553331.0,Targeting Maths : Australian Curriculum Edition F / Katy Pike,"Pike, Katy, 2013",2013,Book,8.119243621826172,very relevant,,,,2013.0,"Pike, Katy, 2013",Book,2010.0,"9781742152196 Targeting Maths : Australian Curriculum Edition F / Katy Pike Pike, Katy, 2013 Book",0.9855072463768116,0.0750657082045245,Targeting Maths,F,Katy Pike,Blake Publishing,2013-08-30,"The Australian Curriculum Edition TARGETING MATHS FOUNDATION STUDENT BOOK has been specifically written to meet the Australian Curriculum requirements of the foundation year of primary school. The TARGETING MATHS FOUNDATION STUDENT BOOK features: Australian Curriculum Alignment Complete coverage of all Foundation Year Content descriptions for mathematics. Targeting Maths App for iPad The TARGETING MATHS FOUNDATION STUDENT BOOK is fully cross-referenced to the Year K Targeting Maths App (coming soon). Children will benefit from the combination of book-based and digital learning this program provides. Fully integrated Problem-solving Program Actively builds students' abilities to think mathematically, problem solve and communicate their answers in a variety of ways. Term Investigations Students plan and work through problems that extend their mathematical fluency. Regular Revision Regular revision pages maintain skills. Interactive whiteboard activities for front-of-class teaching The TARGETING MATHS FOUNDATION TEACHING GUIDE includes the complete K-Prep/Foundation level Rainforest Maths CD-ROM, an invaluable resource for teaching and learning a wide variety of maths concepts. This book aims to teach Foundation year students: Numbers to 30; 2D shapes and 3D objects; Addition and subtraction and Groups and subitising.",138.0,Mathematics,,,en
15,NSW,0,ENGLISH,9780310709626,8076196.0,The beginner's Bible :  timeless children's stories,"Henley, Karyn",2005-2016,"Book, Book/Illustrated",7.36301851272583,very relevant,url,restricted,http://www.loc.gov/catdir/toc/ecip054/2004026266.html,2005.0,"Henley, Karyn",Book/Illustrated,2000.0,"9780310709626 The beginner's Bible :  timeless children's stories Henley, Karyn Book/Illustrated",0.9758454106280192,0.0482232245582882,The Beginner's Bible,Timeless Bible Stories,,Zondervan,2005,Retells familiar Bible stories from the Old and New Testaments for children to enjoy.,511.0,Juvenile Nonfiction,5.0,1.0,en
15,NSW,0,ENGLISH,9780310709626,191703987.0,The beginner's bible,,2005,"Book/Illustrated, Book",6.004440307617188,very relevant,,,,2005.0,Unknown,Book/Illustrated,2000.0,9780310709626 The beginner's bible Book/Illustrated,0.9758454106280192,0.0,The Beginner's Bible,Timeless Bible Stories,,Zondervan,2005,Retells familiar Bible stories from the Old and New Testaments for children to enjoy.,511.0,Juvenile Nonfiction,5.0,1.0,en
