School_ID,State,Year,Subject,ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value,start_year,author_processed,type_processed,decade,corpus,recency_score,popularity_score,title_google,subtitle,authors,publisher,published_date,description,page_count,categories,average_rating,ratings_count,language,enhanced_corpus,subject_keywords,grade_category,quality_score,final_corpus
8,VIC,0,ENGLISH,9781741250879,17911947.0,"Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King","Dearborn, Tricia",2004,"Book, Book/Illustrated",8.119243621826172,very relevant,,,,2004.0,"Dearborn, Tricia",Book/Illustrated,2000.0,"9781741250879 Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King Dearborn, Tricia Book/Illustrated",0.9746376811594204,0.0750657082045245,Victorian Targeting Handwriting,,"Jane Pinsker, Tricia Dearborn, Jo Ryan, Stephen Michael King, Susan Young",,2004,,64.0,Penmanship,,,en,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 penmanship penmanship penmanship victorian targeting handwriting victorian targeting handwriting australia australian vic 9781741250879 victorian targeting handwriting /  tricia dearborn, jo ryan, stephen michael king dearborn, tricia book/illustrated jane pinsker, tricia dearborn, jo ryan, stephen michael king, susan young",english literature writing reading language literacy,early_primary foundation prep,0.6524851694681972,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 penmanship penmanship penmanship victorian targeting handwriting victorian targeting handwriting australia australian vic 9781741250879 victorian targeting handwriting /  tricia dearborn, jo ryan, stephen michael king dearborn, tricia book/illustrated jane pinsker, tricia dearborn, jo ryan, stephen michael king, susan young english literature writing reading language literacy early_primary foundation prep"
9,NSW,0,ENGLISH,9780648237327,,,,,,,,,,,,Unknown,Unknown,,9780648237327,0.5,0.5,Kluwell My Home Reading Yellow Level,,"Stan Kluzek, Andrew Coldwell",,2019-07,Suitable for lower primary students.,0.0,,,,en,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 kluwell my home reading yellow level kluwell my home reading yellow level suitable for lower primary students. australia australian nsw 9780648237327 stan kluzek, andrew coldwell",english literature writing reading language literacy,early_primary foundation prep,0.75,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 kluwell my home reading yellow level kluwell my home reading yellow level suitable for lower primary students. australia australian nsw 9780648237327 stan kluzek, andrew coldwell english literature writing reading language literacy early_primary foundation prep"
15,NSW,0,ENGLISH,9781742990682,6741923.0,Wilfrid Gordon McDonald Partridge /  written by Mem Fox ; illustrated by Julie Vivas,"Fox, Mem, 1946-",1984-2024,"Book, Book/Illustrated, Audio book, Book/Braille, Book/Large print",24.31260299682617,very relevant,url,restricted,http://openlibrary.org/books/OL11346705M,1984.0,"Fox, Mem, 1946-",Book/Illustrated,1980.0,"9781742990682 Wilfrid Gordon McDonald Partridge /  written by Mem Fox ; illustrated by Julie Vivas Fox, Mem, 1946- Book/Illustrated",0.9504830917874396,0.6498548536194113,Wilfrid Gordon McDonald Partridge,,Mem Fox,Omnibus Books,2014,"30TH ANNIVERSARY EDITION. Wilfrid Gordon McDonald Partridge was a second collaboration for Mem Fox and Julie Vivas, the author and illustrator of Possum Magic. First published in 1984, it was similarly an instant success, later translated into several languages and published in the US and the UK. Its classic themes and beautiful artwork have also seen it adapted to the stage as a play for children, but its enduring appeal is in the simple words of a story thoughtfully told, illustrated with humour and understanding.",32.0,,,,en,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 wilfrid gordon mcdonald partridge wilfrid gordon mcdonald partridge omnibus books 30th anniversary edition. wilfrid gordon mcdonald partridge was a second collaboration for mem fox and julie vivas, the author and illustrator of possum magic. first published in 1984, it was similarly an instant success, later translated into several languages and published in the us and the uk. its classic themes and beautiful artwork have also seen it adapted to the stage as a play for children, but its enduring appeal is in the simple words of a story thoughtfully told, illustrated with humour and understanding. australia australian nsw 9781742990682 wilfrid gordon mcdonald partridge /  written by mem fox ; illustrated by julie vivas fox, mem, 1946- book/illustrated mem fox",english literature writing reading language literacy,early_primary foundation prep,0.8800168972703425,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 wilfrid gordon mcdonald partridge wilfrid gordon mcdonald partridge omnibus books 30th anniversary edition. wilfrid gordon mcdonald partridge was a second collaboration for mem fox and julie vivas, the author and illustrator of possum magic. first published in 1984, it was similarly an instant success, later translated into several languages and published in the us and the uk. its classic themes and beautiful artwork have also seen it adapted to the stage as a play for children, but its enduring appeal is in the simple words of a story thoughtfully told, illustrated with humour and understanding. australia australian nsw 9781742990682 wilfrid gordon mcdonald partridge /  written by mem fox ; illustrated by julie vivas fox, mem, 1946- book/illustrated mem fox english literature writing reading language literacy early_primary foundation prep"
15,NSW,0,ENGLISH,9781741351750,163413090.0,iMaths,"Linthorne, Chris",2008-2012,"Book/Illustrated, Book, Sound, Sound/Other sound",15.12327766418457,very relevant,,,,2008.0,"Linthorne, Chris",Book/Illustrated,2000.0,"9781741351750 iMaths Linthorne, Chris Book/Illustrated",0.9794685990338164,0.3236764287125389,IMaths,,"Mary Serenc, Lena Ford, Chris Linthorne",,2011,"""iMaths is an investigative-based numeracy program that comprehensively addresses both the content and proficiency strands of the Australian curriculum.""--Back cover.",135.0,Mathematics,,,en,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 mathematics mathematics mathematics imaths imaths ""imaths is an investigative-based numeracy program that comprehensively addresses both the content and proficiency strands of the australian curriculum.""--back cover. australia australian nsw 9781741351750 imaths linthorne, chris book/illustrated mary serenc, lena ford, chris linthorne",english literature writing reading language literacy,early_primary foundation prep,0.8651572513873177,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 mathematics mathematics mathematics imaths imaths ""imaths is an investigative-based numeracy program that comprehensively addresses both the content and proficiency strands of the australian curriculum.""--back cover. australia australian nsw 9781741351750 imaths linthorne, chris book/illustrated mary serenc, lena ford, chris linthorne english literature writing reading language literacy early_primary foundation prep"
15,NSW,0,ENGLISH,9781742152196,10967603.0,Targeting maths :  dictionary /  by Garda Turner,"Turner, Garda",1900-2023,"Book, Book/Illustrated",16.94740867614746,very relevant,,,,1900.0,"Turner, Garda",Book/Illustrated,1900.0,"9781742152196 Targeting maths :  dictionary /  by Garda Turner Turner, Garda Book/Illustrated",0.8490338164251208,0.3884246184618288,Targeting Maths,F,Katy Pike,Blake Publishing,2013-08-30,"The Australian Curriculum Edition TARGETING MATHS FOUNDATION STUDENT BOOK has been specifically written to meet the Australian Curriculum requirements of the foundation year of primary school. The TARGETING MATHS FOUNDATION STUDENT BOOK features: Australian Curriculum Alignment Complete coverage of all Foundation Year Content descriptions for mathematics. Targeting Maths App for iPad The TARGETING MATHS FOUNDATION STUDENT BOOK is fully cross-referenced to the Year K Targeting Maths App (coming soon). Children will benefit from the combination of book-based and digital learning this program provides. Fully integrated Problem-solving Program Actively builds students' abilities to think mathematically, problem solve and communicate their answers in a variety of ways. Term Investigations Students plan and work through problems that extend their mathematical fluency. Regular Revision Regular revision pages maintain skills. Interactive whiteboard activities for front-of-class teaching The TARGETING MATHS FOUNDATION TEACHING GUIDE includes the complete K-Prep/Foundation level Rainforest Maths CD-ROM, an invaluable resource for teaching and learning a wide variety of maths concepts. This book aims to teach Foundation year students: Numbers to 30; 2D shapes and 3D objects; Addition and subtraction and Groups and subitising.",138.0,Mathematics,,,en,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 mathematics mathematics mathematics targeting maths targeting maths blake publishing the australian curriculum edition targeting maths foundation student book has been specifically written to meet the australian curriculum requirements of the foundation year of primary school. the targeting maths foundation student book features: australian curriculum alignment complete coverage of all foundation year content descriptions for mathematics. targeting maths app for ipad the targeting maths foundation student book is fully cross-referenced to the year k targeting maths app (coming soon). children will benefit from the combination of book-based and digital learning this program provides. fully integrated problem-solving program actively builds students' abilities to think mathematically, problem solve and communicate their answers in a variety of ways. term investigations stude f australia australian nsw 9781742152196 targeting maths :  dictionary /  by garda turner turner, garda book/illustrated katy pike",english literature writing reading language literacy,early_primary foundation prep,0.8618729217443474,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 mathematics mathematics mathematics targeting maths targeting maths blake publishing the australian curriculum edition targeting maths foundation student book has been specifically written to meet the australian curriculum requirements of the foundation year of primary school. the targeting maths foundation student book features: australian curriculum alignment complete coverage of all foundation year content descriptions for mathematics. targeting maths app for ipad the targeting maths foundation student book is fully cross-referenced to the year k targeting maths app (coming soon). children will benefit from the combination of book-based and digital learning this program provides. fully integrated problem-solving program actively builds students' abilities to think mathematically, problem solve and communicate their answers in a variety of ways. term investigations stude f australia australian nsw 9781742152196 targeting maths :  dictionary /  by garda turner turner, garda book/illustrated katy pike english literature writing reading language literacy early_primary foundation prep"
15,NSW,0,ENGLISH,9780310709626,8076196.0,The beginner's Bible :  timeless children's stories,"Henley, Karyn",2005-2016,"Book, Book/Illustrated",7.36301851272583,very relevant,url,restricted,http://www.loc.gov/catdir/toc/ecip054/2004026266.html,2005.0,"Henley, Karyn",Book/Illustrated,2000.0,"9780310709626 The beginner's Bible :  timeless children's stories Henley, Karyn Book/Illustrated",0.9758454106280192,0.0482232245582882,The Beginner's Bible,Timeless Bible Stories,,Zondervan,2005,Retells familiar Bible stories from the Old and New Testaments for children to enjoy.,511.0,Juvenile Nonfiction,5.0,1.0,en,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 juvenile nonfiction juvenile nonfiction juvenile nonfiction the beginner's bible the beginner's bible zondervan retells familiar bible stories from the old and new testaments for children to enjoy. timeless bible stories australia australian nsw 9780310709626 the beginner's bible :  timeless children's stories henley, karyn book/illustrated henley, karyn",english literature writing reading language literacy,early_primary foundation prep,0.7512034317593154,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 juvenile nonfiction juvenile nonfiction juvenile nonfiction the beginner's bible the beginner's bible zondervan retells familiar bible stories from the old and new testaments for children to enjoy. timeless bible stories australia australian nsw 9780310709626 the beginner's bible :  timeless children's stories henley, karyn book/illustrated henley, karyn english literature writing reading language literacy early_primary foundation prep"
15,NSW,0,ENGLISH,9781876424022,252748714.0,Thrass picture charts [picture],,,Book,6.3984904289245605,very relevant,,,,,Unknown,Book,,9781876424022 Thrass picture charts [picture] Book,0.5,0.0139869515170873,Thrass Sound Picturechart [Deskchart].,,Alan Davies,,1998,,,Authorship,,,en,english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 authorship authorship authorship thrass sound picturechart [deskchart]. thrass sound picturechart [deskchart]. australia australian nsw 9781876424022 thrass picture charts [picture] book alan davies,english literature writing reading language literacy,early_primary foundation prep,0.6256993475758543,english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 authorship authorship authorship thrass sound picturechart [deskchart]. thrass sound picturechart [deskchart]. australia australian nsw 9781876424022 thrass picture charts [picture] book alan davies english literature writing reading language literacy early_primary foundation prep
35,NSW,0,ENGLISH,9781740202954,28141087.0,"Targeting handwriting student book : NSW foundation style / by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001-2023,"Book, Book/Illustrated",10.823433876037598,very relevant,,,,2001.0,"Pinsker, Jane",Book/Illustrated,2000.0,"9781740202954 Targeting handwriting student book : NSW foundation style / by Jane Pinsker, illustrated by Stephen Michael King Pinsker, Jane Book/Illustrated",0.9710144927536232,0.1710519189260074,Targeting Handwriting,NSW Foundation Style,Jane Pinsker,,2001,,64.0,Penmanship,,,en,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 penmanship penmanship penmanship targeting handwriting targeting handwriting nsw foundation style australia australian nsw 9781740202954 targeting handwriting student book : nsw foundation style / by jane pinsker, illustrated by stephen michael king pinsker, jane book/illustrated jane pinsker",english literature writing reading language literacy,early_primary foundation prep,0.6571033205839816,"english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 penmanship penmanship penmanship targeting handwriting targeting handwriting nsw foundation style australia australian nsw 9781740202954 targeting handwriting student book : nsw foundation style / by jane pinsker, illustrated by stephen michael king pinsker, jane book/illustrated jane pinsker english literature writing reading language literacy early_primary foundation prep"
36,QLD,0,ENGLISH,9781925487350,,,,,,,,,,,,Unknown,Unknown,,9781925487350,0.5,0.5,Alphabet Sounds and Writing Scrapbook Queensland,,,,2017-06-01,Beginners Alphabet and writing book,56.0,,,,en,english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 alphabet sounds and writing scrapbook queensland alphabet sounds and writing scrapbook queensland beginners alphabet and writing book australia australian qld 9781925487350,english literature writing reading language literacy,early_primary foundation prep,0.75,english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 alphabet sounds and writing scrapbook queensland alphabet sounds and writing scrapbook queensland beginners alphabet and writing book australia australian qld 9781925487350 english literature writing reading language literacy early_primary foundation prep
36,QLD,0,ENGLISH,9781741352795,,,,,,,,,,,,Unknown,Unknown,,9781741352795,0.5,0.5,Writing Time: F. Queensland beginner's alphabet,,Mary Serenc,,2013,,72.0,Alphabet books,,,en,english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 alphabet books alphabet books alphabet books writing time: f. queensland beginner's alphabet writing time: f. queensland beginner's alphabet australia australian qld 9781741352795 mary serenc,english literature writing reading language literacy,early_primary foundation prep,0.65,english english english english english english year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 year 0 grade 0 level 0 alphabet books alphabet books alphabet books writing time: f. queensland beginner's alphabet writing time: f. queensland beginner's alphabet australia australian qld 9781741352795 mary serenc english literature writing reading language literacy early_primary foundation prep
