ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value,start_year,author_processed,type_processed,decade,corpus,recency_score,popularity_score
9781741250879,17911947.0,"Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King","Dearborn, Tricia",2004,"Book, Book/Illustrated",8.119243621826172,very relevant,,,,2004.0,"Dearborn, Tricia",Book/Illustrated,2000.0,"9781741250879 Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King Dearborn, Tricia Book/Illustrated",0.9746376811594203,0.07506570820452454
9781741250879,189779979.0,Targeting handwriting. : Victorian modern cursive / by Jane Pinsker and Jo Ryan ; illustrated by Stephen Michael King,"Pinsker, Jane",2003-2004,"Book/Illustrated, Book",8.119243621826172,very relevant,,,,2003.0,"Pinsker, Jane",Book/Illustrated,2000.0,"9781741250879 Targeting handwriting. : Victorian modern cursive / by Jane Pinsker and Jo Ryan ; illustrated by Stephen Michael King Pinsker, Jane Book/Illustrated",0.9734299516908212,0.07506570820452454
9780648237327,,,,,,,,,,,,Unknown,Unknown,,9780648237327,0.5,0.5
9781742990682,6741923.0,Wilfrid Gordon McDonald Partridge /  written by Mem Fox ; illustrated by Julie Vivas,"Fox, Mem, 1946-",1984-2024,"Book, Book/Illustrated, Audio book, Book/Braille, Book/Large print",24.31260299682617,very relevant,url,restricted,http://openlibrary.org/books/OL11346705M,1984.0,"Fox, Mem, 1946-",Book/Illustrated,1980.0,"9781742990682 Wilfrid Gordon McDonald Partridge /  written by Mem Fox ; illustrated by Julie Vivas Fox, Mem, 1946- Book/Illustrated",0.9504830917874396,0.6498548536194113
9781741351750,163413090.0,iMaths,"Linthorne, Chris",2008-2012,"Book/Illustrated, Book, Sound, Sound/Other sound",15.12327766418457,very relevant,,,,2008.0,"Linthorne, Chris",Book/Illustrated,2000.0,"9781741351750 iMaths Linthorne, Chris Book/Illustrated",0.9794685990338164,0.32367642871253893
9781742152196,10967603.0,Targeting maths :  dictionary /  by Garda Turner,"Turner, Garda",1900-2023,"Book, Book/Illustrated",16.94740867614746,very relevant,,,,1900.0,"Turner, Garda",Book/Illustrated,1900.0,"9781742152196 Targeting maths :  dictionary /  by Garda Turner Turner, Garda Book/Illustrated",0.8490338164251208,0.38842461846182885
9781742152196,190020802.0,Targeting maths /  Katy Pike,"Pike, Katy",2006-2017,"Book/Illustrated, Book",11.165064811706545,very relevant,,,,2006.0,"Pike, Katy",Book/Illustrated,2000.0,"9781742152196 Targeting maths /  Katy Pike Pike, Katy Book/Illustrated",0.9770531400966184,0.18317823249770526
9781742152196,233553331.0,Targeting Maths : Australian Curriculum Edition F / Katy Pike,"Pike, Katy, 2013",2013,Book,8.119243621826172,very relevant,,,,2013.0,"Pike, Katy, 2013",Book,2010.0,"9781742152196 Targeting Maths : Australian Curriculum Edition F / Katy Pike Pike, Katy, 2013 Book",0.9855072463768116,0.07506570820452454
9780310709626,8076196.0,The beginner's Bible :  timeless children's stories,"Henley, Karyn",2005-2016,"Book, Book/Illustrated",7.36301851272583,very relevant,url,restricted,http://www.loc.gov/catdir/toc/ecip054/2004026266.html,2005.0,"Henley, Karyn",Book/Illustrated,2000.0,"9780310709626 The beginner's Bible :  timeless children's stories Henley, Karyn Book/Illustrated",0.9758454106280193,0.04822322455828824
9780310709626,191703987.0,The beginner's bible,,2005,"Book/Illustrated, Book",6.004440307617188,very relevant,,,,2005.0,Unknown,Book/Illustrated,2000.0,9780310709626 The beginner's bible Book/Illustrated,0.9758454106280193,0.0
